Epoch		Train-loss		Val-loss		learningRate
1		2.4011		6.4712		0.00050000
2		1.4730		1.4751		0.00049625
3		1.3046		1.1694		0.00049249
4		1.2401		1.2077		0.00048874
5		1.2004		1.0287		0.00048497
6		1.1304		1.3890		0.00048121
7		1.1121		1.0406		0.00047744
8		1.0373		0.9961		0.00047367
9		1.0588		0.9723		0.00046990
10		1.1000		1.1897		0.00046612
11		1.0552		0.9247		0.00046234
12		0.9769		0.8784		0.00045855
13		0.9436		0.8553		0.00045477
14		0.9714		0.8264		0.00045097
15		0.9256		0.9050		0.00044718
16		0.9268		0.8156		0.00044338
17		0.8783		0.8199		0.00043958
18		0.8668		0.8034		0.00043577
19		0.8319		0.7580		0.00043196
20		0.8288		0.8096		0.00042815
21		0.8298		1.1578		0.00042433
22		0.8615		0.7775		0.00042051
23		0.8379		0.8564		0.00041669
24		0.8054		0.7042		0.00041286
25		0.7892		0.7002		0.00040903
26		0.7459		0.6510		0.00040519
27		0.7671		0.6918		0.00040135
28		0.8017		0.7913		0.00039750
29		0.7433		0.6650		0.00039366
30		0.7774		0.6362		0.00038980
31		0.7116		0.6576		0.00038594
32		0.7122		0.5929		0.00038208
33		0.7159		0.7090		0.00037822
34		0.6435		0.5891		0.00037435
35		0.7284		0.7713		0.00037047
36		0.6893		0.6080		0.00036659
37		0.6732		0.8142		0.00036271
38		0.6756		0.5813		0.00035882
39		0.6458		0.5926		0.00035493
40		0.6135		0.5664		0.00035103
41		0.6577		0.5978		0.00034713
42		0.6586		0.6559		0.00034322
43		0.6217		0.5403		0.00033931
44		0.6348		0.5779		0.00033539
45		0.5900		0.5534		0.00033147
46		0.5849		0.5698		0.00032754
47		0.6177		0.5886		0.00032361
48		0.5971		0.5068		0.00031967
49		0.6128		0.4823		0.00031572
50		0.5643		0.4961		0.00031177
51		0.5565		0.4571		0.00030782
52		0.5232		0.4448		0.00030386
53		0.5097		0.5400		0.00029989
54		0.5159		0.5097		0.00029592
55		0.5020		0.4393		0.00029194
56		0.4473		0.3826		0.00028796
57		0.4344		0.3767		0.00028397
58		0.4185		0.3669		0.00027997
59		0.4238		0.3651		0.00027597
60		0.4111		0.3387		0.00027196
61		0.4081		0.3473		0.00026794
62		0.3994		0.3389		0.00026392
63		0.3737		0.4417		0.00025989
64		0.4352		0.3523		0.00025586
65		0.4054		0.3252		0.00025181
66		0.3640		0.2955		0.00024776
67		0.3466		0.3221		0.00024370
68		0.3646		0.2816		0.00023964
69		0.3384		0.2739		0.00023556
70		0.3286		0.2854		0.00023148
71		0.3152		0.2353		0.00022739
72		0.3058		0.2360		0.00022330
73		0.2981		0.2398		0.00021919
74		0.2873		0.2257		0.00021508
75		0.2781		0.2283		0.00021095
76		0.2809		0.1993		0.00020682
77		0.2701		0.2092		0.00020268
78		0.2685		0.1996		0.00019853
79		0.2622		0.2022		0.00019437
80		0.2593		0.2287		0.00019020
81		0.2587		0.1974		0.00018602
82		0.2442		0.1775		0.00018183
83		0.2197		0.1700		0.00017763
84		0.2120		0.1584		0.00017342
85		0.2294		0.1696		0.00016919
86		0.2142		0.1592		0.00016496
87		0.2090		0.1589		0.00016071
88		0.2064		0.1520		0.00015645
89		0.1970		0.1452		0.00015217
90		0.1846		0.1413		0.00014789
91		0.1839		0.1324		0.00014359
92		0.1786		0.1362		0.00013927
93		0.1829		0.1272		0.00013494
94		0.1858		0.1325		0.00013060
95		0.1777		0.1301		0.00012624
96		0.1765		0.1313		0.00012186
97		0.1673		0.1300		0.00011746
98		0.1707		0.1284		0.00011305
99		0.1620		0.1185		0.00010861
100		0.1553		0.1136		0.00010416
101		0.1545		0.1144		0.00009969
102		0.1575		0.1088		0.00009519
103		0.1460		0.1082		0.00009067
104		0.1512		0.1081		0.00008612
105		0.1487		0.1088		0.00008155
106		0.1515		0.1042		0.00007695
107		0.1447		0.1031		0.00007231
108		0.1433		0.1009		0.00006765
109		0.1400		0.0993		0.00006295
110		0.1393		0.0981		0.00005821
111		0.1390		0.0982		0.00005342
112		0.1464		0.1022		0.00004859
113		0.1379		0.0992		0.00004370
114		0.1368		0.0963		0.00003875
115		0.1367		0.0964		0.00003373
116		0.1335		0.0952		0.00002863
117		0.1293		0.0946		0.00002342
118		0.1301		0.0940		0.00001808
119		0.1362		0.0937		0.00001255
120		0.1287		0.0939		0.00000673
